,city,pop_2018_est
286,Edna,186
287,Elizabeth Lake,1895
288,Elk Creek,191
289,El Nido,328
290,El Portal,268
291,El Rancho,65
292,El Sobrante (Riverside County),13966
293,Elverta,5821
294,Eucalyptus Hills,6017
295,Fairmead,1876
296,Fiddletown,329
297,Fieldbrook,921
298,Fields Landing,325
299,Fish Camp,90
300,Cloverdale,8798
301,Woodlands,1743
302,Yankee Hill,301
303,Yettem,441
304,Yolo,429
305,Zayante,939
306,Beckwourth,214
307,Montara,2692
308,San Anselmo,12567
309,Yosemite Lakes,5647
310,Rancho Mirage,18075
311,Redlands,71012
312,Searles Valley,1646
313,Nevada City,3128
314,Kelseyville,3332
315,Alta Sierra,7207
316,Lake Wildwood,5208
317,McKinleyville,16612
318,Lake of the Woods,768
319,Lebec,1802
320,Mettler,138
321,Mountain Mesa,1236
322,Onyx,588
323,Randsburg,64
324,Rosamond,20028
325,Stallion Springs,3625
326,Wasco,26708
327,Camarillo,67543
328,Casa Conejo,3366
329,Moorpark,36274
330,Simi Valley,126199
331,Thousand Oaks,128481
332,Lake Elsinore,64037
333,La Quinta,40704
334,Palm Springs,47525
335,Reedley,25493
336,Malaga,1337
337,Angels,3811
338,La Cañada Flintridge,20374
339,Foresthill,1546
340,Granite Bay,22439
341,Loomis,6753
342,Day Valley,3439
343,Del Rio,1235
344,Empire,3667
345,Three Rivers,2397
346,West Modesto,5911
347,Dinuba,23871
348,Lemon Cove,267
349,Traver,740
350,Woodlake,7636
351,American Canyon,20306
352,Folsom,77007
353,Sacramento,495011
354,Walnut Grove,1300
355,Avery,559
356,Valley Springs,3428
357,Torrance,146392
358,San Andreas,3085
359,London,1854
360,Felton,3810
361,Twin Lakes,5642
362,Bret Harte,5319
363,Modesto,211336
364,Salida,14658
365,Turlock,72335
366,Westley,838
367,Rio Linda,15460
368,Hickman,566
369,Hughson,7370
370,Cutler,5774
371,Goshen,3316
372,Springville,872
373,Kings Beach,2833
374,Lincoln,46939
375,North Auburn,13707
376,Bluewater,161
377,Rialto,102873
378,Wrightwood,4283
379,Orcutt,30493
380,Santa Ynez,4401
381,Carmichael,64785
382,Florin,49132
383,Vineyard,28315
