,city,pop_2018_est,mh_spaces
1020,Los Olivos,831,
1021,Los Osos,16292,493.0
1022,Los Ranchos,1730,
1023,Lucerne Valley,5423,48.0
1024,Lytle Creek,724,10.0
1025,Mabie,74,
1026,McClellan Park,809,
1027,McClenney Tract,41,
1028,McGee Creek,0,
1029,McSwain,4137,
1030,East Whittier,10391,
1031,Jurupa Valley,103784,36.0
1032,Garden Acres,10701,
1033,Lincoln Village,4768,
1034,Carlsbad,113670,1141.0
1035,Chula Vista,266468,3566.0
1036,Clipper Mills,319,
1037,Coarsegold,1643,203.0
1038,Coffee Creek,186,
1039,Cohasset,990,14.0
1040,Cold Springs (El Dorado County),675,
1041,Cold Springs (Tuolumne County),108,
1042,Coleville,515,
1043,College City,239,
1044,Coloma,673,
1045,Comptche,83,
1046,Coronita,3138,
1047,Courtland,537,
1048,Collierville,2642,
1049,Cowan,570,
1050,Cressey,356,
1051,Creston,30,1.0
1052,Crowley Lake,889,115.0
1053,Crows Landing,278,4.0
1054,Cuyama,9,
1055,Daphnedale Park,135,
1056,Davenport,264,
1057,Delft Colony,653,
1058,Descanso,1644,
1059,Desert Center,264,107.0
1060,Desert Edge,3343,
1061,Desert Palms,6947,
1062,Diablo Grande,841,
1063,Dobbins,662,74.0
1064,Dogtown,2629,
1065,Dos Palos Y,242,
1066,Douglas City,668,69.0
1067,Downieville,114,8.0
1068,Talmage,921,
1069,Home Garden,1643,
1070,Guerneville,4808,8.0
1071,Manton,372,14.0
1072,Rancho Tehama Reserve,1922,
1073,Durham,5863,
1074,Armona,3795,
1075,Buena Park,82781,256.0
1076,San Leandro,90103,1023.0
1077,Bowles,194,
1078,Huron,7019,21.0
1079,Sanger,24978,380.0
1080,Alhambra,84974,
1081,Bradbury,916,
1082,El Sobrante (Contra Costa County),13736,
1083,Floriston,20,
1084,Cleone,804,
1085,Flournoy,171,
1086,Forbestown,221,15.0
1087,Forest Ranch,538,20.0
1088,Fort Bidwell,181,
1089,Fort Irwin,9086,
1090,Fort Washington,783,
1091,Franklin (Merced County),7314,
1092,Franklin (Sacramento County),117,
1093,Freeport,81,
1094,French Valley,33818,
1095,Fruitridge Pocket,6215,
1096,Fuller Acres,841,
1097,Fulton,566,
1098,Garberville,1126,12.0
1099,Garden Farms,345,
1100,Garey,160,
1101,Garnet,5057,
1102,Gasquet,620,153.0
1103,Tiburon,9151,
1104,Prunedale,19584,
1105,Grover Beach,13538,170.0
1106,Hornbrook,215,26.0
1107,Tennant,18,
1108,Yuba City,66388,1036.0
1109,Los Altos Hills,8517,
1110,Monte Sereno,3492,
1111,Saratoga,30886,
1112,Sunnyvale,152323,3920.0
1113,Cotati,7470,112.0
1114,Forestville,3685,33.0
1115,Graton,1877,
1116,Occidental,833,
1117,Corning,7535,360.0
1118,Gridley,6585,45.0
1119,Tehama,445,
1120,Casa de Oro-Mount Helix,19635,
1121,San Diego,1401932,4747.0
1122,Bradley,107,93.0
1123,King City,13834,400.0
1124,Salinas,156550,1497.0
1125,Fairfield,114101,851.0
1126,Alpine Village,155,
1127,Kirkwood,76,
1128,San Luis Obispo,47160,1581.0
1129,Edgewood,40,
1130,Gazelle,46,17.0
1131,Los Gatos,30922,139.0
1132,Loyola,3364,
1133,Stanford,15668,
1134,Alpine,15233,222.0
1135,Camp Pendleton North,7903,
1136,Dorris,868,2.0
1137,Cambria,5725,54.0
1138,Pismo Beach,8116,416.0
1139,Tulelake,838,81.0
1140,Palo Alto,67019,104.0
1141,Shafter,18923,198.0
1142,Valley Acres,617,
1143,Martinez,38117,
1144,Mountain View,2066,1130.0
1145,Pittsburg,70492,679.0
1146,Walnut Creek,69007,
1147,China Lake Acres,1947,
1148,Half Moon Bay,12706,420.0
1149,Los Banos,38119,346.0
1150,Atherton,7185,
1151,Daly City,106638,501.0
1152,Coulterville,38,87.0
1153,Avila Beach,1273,163.0
1154,University of California-Davis,7379,
1155,Westmorland,2643,
1156,Clayton,11967,203.0
1157,Concord,128758,1412.0
1158,Danville,44417,
1159,Discovery Bay,15981,
1160,Pacheco,4355,744.0
1161,San Ramon,75384,
1162,Amador City,167,
1163,Sutter Creek,2538,
1164,Clio,65,
1165,C-Road,97,
1166,East Shore,169,20.0
1167,Greenhorn,254,
1168,Anderson,10265,691.0
1169,Redding,91327,2569.0
1170,Diamond Springs,11989,421.0
1171,Placerville,10860,670.0
1172,Pollock Pines,6905,460.0
1173,Jackson,4694,289.0
1174,Plymouth,894,75.0
1175,Bishop,3765,994.0
1176,Darwin,56,
1177,Lone Pine,1837,160.0
1178,Mesa,317,
1179,Caribou,0,
1180,Chester,2116,41.0
1181,Hamilton Branch,612,
1182,Lake Davis,65,
1183,Spring Garden,13,
1184,Whitehawk,66,
1185,Manteca,77073,734.0
1186,Ripon,15367,11.0
1187,Taft Mosswood,951,
1188,Raisin City,389,
1189,San Jose,1026658,10667.0
1190,San Martin,7010,
1191,San Francisco,870044,
1192,Santa Clara,126209,
1193,Bonita,13324,2.0
1194,Harbison Canyon,4223,
1195,Denair,5131,120.0
1196,Oakdale,22599,479.0
1197,Los Angeles,3959657,169.0
1198,Palos Verdes Estates,13523,
1199,Rolling Hills Estates,8187,
1200,Stanton,38509,1301.0
1201,Richgrove,2611,
1202,Laguna Beach,23147,185.0
1203,Placentia,52049,595.0
1204,Fairhaven,145,
1205,Fort Dick,830,
1206,Hoopa,3573,
1207,Little Valley,18,
1208,Pala,1143,
1209,Westside,182,
1210,Madison,563,
1211,Mad River,432,10.0
1212,Manchester,199,12.0
1213,Manila,834,
1214,Marin City,3173,
1215,Martell,300,24.0
1216,Matheny,1134,
1217,Mather,4408,
1218,March ARB,1150,
1219,Maxwell,1096,26.0
1220,Mayfair,5091,
1221,Meadowbrook,3033,
1222,Willows,6022,71.0
1223,Rosemead,54417,235.0
1224,South San Gabriel,8643,
1225,Aptos,5797,503.0
1226,Boulder Creek,4712,40.0
1227,Auburn,13946,1006.0
1228,Dollar Point,786,
1229,Ducor,651,
1230,Exeter,10505,190.0
1231,Palm Desert,52124,1064.0
1232,Calipatria,7458,
1233,Palo Verde,85,105.0
1234,Seeley,1699,21.0
1235,Bonadelle Ranchos-Madera Ranchos,8971,
1236,Ione,7439,534.0
1237,Independence,542,48.0
1238,Olancha,213,39.0
1239,Pearsonville,29,
1240,Tecopa,146,21.0
1241,Cromberg,253,19.0
1242,Graeagle,596,42.0
1243,Indian Falls,54,
1244,Plumas Eureka,333,
1245,Prattville,28,1.0
1246,Quincy,1895,234.0
1247,South Dos Palos,1682,
1248,Jenner,32,5.0
1249,Johnstonville,1185,
1250,Junction City,688,31.0
1251,June Lake,508,9.0
1252,Kelly Ridge,2679,
1253,Kennedy Meadows,20,
1254,Kenwood,800,
1255,Big Bend,96,33.0
1256,Palo Cedro,1151,9.0
1257,Cobb,920,37.0
1258,Myrtletown,5290,
1259,Pine Hills,3146,
1260,Weaverville,3240,127.0
1261,Julian,930,139.0
1262,Pine Valley,1669,
1263,Ramona,20260,616.0
1264,Santee,57615,2310.0
1265,Vista,100108,1927.0
1266,Winter Gardens,23088,
1267,El Verano,3424,
1268,Kentfield,6930,
1269,Taft,9307,132.0
1270,Santa Clarita,209478,2110.0
1271,Las Lomas,3755,
1272,Culver City,39295,117.0
1273,Mayflower Village,5822,
1274,Montebello,63099,199.0
1275,Pico Rivera,63432,405.0
1276,Signal Hill,11538,
1277,South Whittier,60096,
1278,Walnut Park,16034,
1279,Westlake Village,8424,197.0
1280,Willow Creek,1539,104.0
1281,Nice,2393,140.0
1282,Upper Lake,1050,142.0
1283,Fortuna,12117,295.0
1284,Trinidad,272,80.0
1285,Westhaven-Moonstone,1084,
1286,Bombay Beach,415,
1287,Niland,515,529.0
1288,North Tustin,24736,
1289,Orosi,7441,128.0
1290,Rancho Cordova,72056,561.0
1291,Lamont,15222,224.0
1292,Pine Mountain Club,1803,
1293,Norco,26569,
1294,Riverside,323935,4159.0
1295,Temecula,112230,225.0
1296,Gustine,5774,115.0
1297,Pacifica,39065,93.0
1298,Dustin Acres,590,
1299,Ford City,4365,
1300,Kernville,1007,194.0
1301,Lower Lake,1595,77.0
1302,Lagunitas-Forest Knolls,1504,
1303,Larkspur,12375,20.0
1304,Tomales,253,
1305,Farmington,89,
1306,Mission Viejo,96124,
1307,Amesti,2832,
1308,Corralitos,2381,
1309,Lodi,65006,905.0
1310,Freedom,3719,55.0
1311,Scotts Valley,11900,529.0
1312,Pleasanton,80847,371.0
1313,Covelo,1165,43.0
1314,Ukiah,15946,1086.0
1315,Atwater,29197,628.0
1316,Oakland,421042,49.0
1317,Piedmont,11308,
1318,Del Rey,1498,
1319,Fowler,6364,52.0
1320,Kingsburg,11839,224.0
1321,Orange Cove,9564,
1322,Burbank,104275,
1323,Desert View Highlands,2496,
1324,East Los Angeles,119827,
1325,East Pasadena,5971,
1326,Kingvale,73,
1327,Knights Landing,869,16.0
1328,Keswick,430,
1329,Ladera,1465,
1330,Ladera Ranch,30288,
1331,La Honda,711,20.0
1332,Lake California,3281,
1333,Lake City,59,
1334,Lake Don Pedro,1030,
1335,Lakehead,617,50.0
1336,Lake Hughes,587,21.0
1337,Lake Mathews,6848,
1338,Lake Riverside,1049,
1339,Lake Sherwood,1835,
1340,La Selva Beach,2917,
1341,Las Flores (Orange County),5877,
1342,Las Flores (Tehama County),294,
1343,La Vina,239,
1344,Lee Vining,89,95.0
1345,Bethel Island,2010,426.0
1346,Desert Hot Springs,28430,3277.0
1347,Friant,548,32.0
1348,Sunol,962,
1349,Union City,74601,896.0
1350,Caruthers,2773,
1351,Riverdale,3625,25.0
1352,Selma,24598,366.0
1353,Davis,67988,531.0
1354,Sierra Brooks,299,
1355,Sierra City,152,
1356,Sierra Village,330,
1357,Sierraville,103,
1358,Silverado Resort,937,
1359,Silver City,0,
1360,Silver Lakes,5966,
1361,Sisquoc,148,
1362,Sky Valley,2430,
1363,Sleepy Hollow,2200,
1364,Smartsville,163,
1365,Smith Corner,664,
1366,Smith River,632,229.0
1367,Snelling,101,77.0
1368,Soda Bay,941,
1369,Soda Springs,21,
1370,South Monrovia Island,7192,
1371,Spaulding,110,
1372,Spring Valley (Lake County),1081,
1373,Spring Valley (San Diego County),31591,
1374,Spring Valley Lake,7744,
1375,Stevenson Ranch,19364,
1376,Stevinson,331,
1377,Stirling City,307,
1378,Stonyford,136,7.0
1379,Strawberry (Marin County),5759,
1380,Strawberry (Tuolumne County),5,
1381,Sugarloaf Mountain Park,0,
1382,Sugarloaf Saw Mill,0,
1383,Sugarloaf Village,10,
1384,Sultana,1030,
1385,Sunnyside,4451,
1386,Sunny Slopes,80,
1387,Sun Village,13516,
1388,Swall Meadows,218,
1389,Tahoma,867,
1390,Tarpey Village,3390,
1391,Terminous,411,
1392,Hidden Meadows,3386,
1393,Jamul,5384,115.0
1394,La Mesa,59562,345.0
1395,Aromas,2553,1.0
1396,Boronda,1066,
1397,Gonzales,8402,14.0
1398,Marina,21608,399.0
1399,Pajaro,3561,
1400,Vacaville,97943,1090.0
1401,Coto de Caza,14931,
1402,La Palma,15733,
1403,Newport Beach,86280,795.0
1404,San Clemente,65045,413.0
1405,Loma Rica,3088,
1406,Berkeley,120926,
1407,Fremont,233083,732.0
1408,Auberry,2476,112.0
1409,Firebaugh,8295,98.0
1410,Squaw Valley,3449,
1411,Avocado Heights,15903,
1412,Bellflower,77529,1423.0
1413,Calabasas,24077,224.0
1414,Arden-Arcade,100548,
1415,Citrus Heights,87061,1886.0
1416,Gold River,7523,
1417,Wilton,5307,42.0
1418,Mesa Vista,278,
1419,Cayucos,2692,104.0
1420,Templeton,7938,156.0
1421,Dunsmuir,1589,118.0
1422,Greenview,283,
1423,Macdoel,105,
1424,Weed,2677,143.0
1425,Cambrian Park,3094,
1426,Campbell,42470,243.0
1427,Cupertino,60614,
1428,Gilroy,55525,349.0
1429,Larkfield-Wikiup,8926,
1430,Chino Hills,79298,632.0
1431,Fontana,208943,1423.0
1432,Rancho Cucamonga,175679,1356.0
1433,Upland,76382,865.0
1434,Mono Vista,3504,
1435,East Quincy,2622,51.0
1436,Johnsville,0,
1437,Keddie,41,
1438,Madera Acres,9946,
1439,Parkwood,1853,
1440,Mokelumne Hill,637,
1441,Rail Road Flat,283,
1442,East Sonora,2189,
1443,North Edwards,944,
1444,Fellows,49,
1445,Maricopa,1175,
1446,Ridgecrest,28736,1078.0
1447,Tupman,186,
1448,Weldon,2181,
1449,Meiners Oaks,3508,
1450,Oak View,4720,101.0
1451,Piru,2019,9.0
1452,Blue Lake,981,41.0
1453,Cutten,3029,
1454,Ferndale,1365,13.0
1455,Hydesville,978,37.0
1456,Antioch,110730,379.0
1457,Clyde,676,
1458,Kensington,5415,
1459,Knightsen,1500,
1460,Orinda,19431,
1461,Lake Isabella,3454,298.0
1462,Bear Valley (Mariposa County),203,
1463,Bella Vista,2614,
1464,Big Creek,188,
1465,Big Lagoon,118,
1466,Blackhawk,9860,
1467,Blacklake,892,
1468,Boonville,852,7.0
1469,Bloomfield,387,
1470,Citrus,10771,
1471,Grenada,477,
1472,Norwalk,105886,441.0
1473,Taft Heights,2424,
1474,Biola,1451,
1475,Santa Cruz,64273,2026.0
1476,Ceres,47975,949.0
1477,Hawaiian Gardens,14411,247.0
1478,La Puente,40268,871.0
1479,Monterey Park,60792,25.0
1480,Paramount,54776,1418.0
1481,San Fernando,24585,76.0
1482,Santa Monica,92078,10.0
1483,South El Monte,20727,
1484,South Gate,95103,239.0
1485,South Pasadena,25824,
1486,West Covina,107242,265.0
1487,West Hollywood,36384,
1488,Garden Grove,174010,1489.0
1489,Laguna Niguel,65652,
1490,Yorba Linda,67815,290.0
1491,Challenge-Brownsville,864,
1492,Linda,19314,
1493,Wheatland,3747,60.0
1494,Santa Maria,105483,2201.0
1495,Buellton,5092,308.0
1496,Guadalupe,7350,
1497,Santa Barbara,91325,1388.0
1498,Fall River Mills,273,
1499,French Gulch,441,85.0
1500,Montgomery Creek,61,7.0
1501,Shasta Lake,10142,251.0
1502,Vincent,17008,
1503,Temescal Valley,26709,
1504,Whitewater,976,
1505,Pleasure Point,6277,
1506,Contra Costa Centre,6497,
1507,Esparto,3783,90.0
1508,Aptos Hills-Larkin Valley,1993,
1509,Ben Lomond,7071,46.0
1510,Capitola,10135,679.0
1511,Lanare,234,
1512,Laton,2166,
1513,Mendota,11393,35.0
1514,Tranquillity,839,
1515,Bell Gardens,42641,412.0
1516,Beverly Hills,34362,
1517,Covina,48403,884.0
1518,Del Aire,10065,
1519,Downey,112901,190.0
1520,Glendale,200372,
