,city,pop_2018_est,mh_spaces
231,Trinity Village,279,
232,Trona,37,9.0
233,Trowbridge,296,
234,Tuttle,63,
235,Tuttletown,941,
236,Valley Ford,148,
237,Valley Home,202,
238,Valley Wells,0,
239,Verdi,187,
240,Victor,444,5.0
241,Vina,210,
242,Vista Santa Rosa,2967,
243,Volcano,44,
244,Volta,216,
245,Walker,863,24.0
246,Warm Springs,1903,
247,Warner Valley,0,
248,Washington,53,56.0
249,Waterloo,719,
250,Waukena,215,
251,Wawona,196,
252,Weott,271,7.0
253,West Goshen,567,
254,West Park,1035,
255,West Rancho Dominguez,22932,
256,Whitley Gardens,164,
257,Wilsonia,0,
258,Woodbridge,3865,113.0
259,Charter Oak,9760,
260,Cudahy,24016,415.0
261,Florence-Graham,64162,
262,Gardena,59924,1389.0
263,Hawthorne,87370,94.0
264,Hermosa Beach,19650,60.0
265,Patterson,21783,128.0
266,Riverbank,24237,247.0
267,Orangevale,34757,402.0
268,McFarland,14456,
269,Tehachapi,12753,383.0
270,Castro Valley,63288,310.0
271,Calwa,1974,
272,Clovis,106666,867.0
273,Glen Ellen,727,
274,Rohnert Park,42694,1316.0
275,Chico,91998,1957.0
276,Oroville East,7368,
277,Doyle,622,11.0
278,Drytown,20,
279,Dunnigan,1278,213.0
280,Dutch Flat,196,
281,Eagleville,81,
282,East Nicolaus,254,
283,East Rancho Dominguez,16734,
284,East Tulare Villa,980,
285,Edmundson Acres,514,
286,Edna,186,
287,Elizabeth Lake,1895,
288,Elk Creek,191,5.0
289,El Nido,328,47.0
290,El Portal,268,
291,El Rancho,65,
292,El Sobrante (Riverside County),13966,
293,Elverta,5821,
294,Eucalyptus Hills,6017,
295,Fairmead,1876,
296,Fiddletown,329,
297,Fieldbrook,921,
298,Fields Landing,325,
299,Fish Camp,90,
300,Cloverdale,8798,175.0
301,Woodlands,1743,
302,Yankee Hill,301,
303,Yettem,441,
304,Yolo,429,
305,Zayante,939,
306,Beckwourth,214,1.0
307,Montara,2692,
308,San Anselmo,12567,
309,Yosemite Lakes,5647,
310,Rancho Mirage,18075,817.0
311,Redlands,71012,865.0
312,Searles Valley,1646,
313,Nevada City,3128,40.0
314,Kelseyville,3332,725.0
315,Alta Sierra,7207,
316,Lake Wildwood,5208,
317,McKinleyville,16612,
318,Lake of the Woods,768,
319,Lebec,1802,97.0
320,Mettler,138,
321,Mountain Mesa,1236,
322,Onyx,588,
323,Randsburg,64,
324,Rosamond,20028,1500.0
325,Stallion Springs,3625,
326,Wasco,26708,107.0
327,Camarillo,67543,1008.0
328,Casa Conejo,3366,
329,Moorpark,36274,240.0
330,Simi Valley,126199,808.0
331,Thousand Oaks,128481,344.0
332,Lake Elsinore,64037,386.0
333,La Quinta,40704,103.0
334,Palm Springs,47525,2351.0
335,Reedley,25493,179.0
336,Malaga,1337,
337,Angels,3811,
338,La Cañada Flintridge,20374,
339,Foresthill,1546,302.0
340,Granite Bay,22439,246.0
341,Loomis,6753,185.0
342,Day Valley,3439,
343,Del Rio,1235,
344,Empire,3667,114.0
345,Three Rivers,2397,60.0
346,West Modesto,5911,
347,Dinuba,23871,301.0
348,Lemon Cove,267,
349,Traver,740,
350,Woodlake,7636,35.0
351,American Canyon,20306,843.0
352,Folsom,77007,875.0
353,Sacramento,495011,6729.0
354,Walnut Grove,1300,63.0
355,Avery,559,76.0
356,Valley Springs,3428,168.0
357,Torrance,146392,1442.0
358,San Andreas,3085,200.0
359,London,1854,
360,Felton,3810,57.0
361,Twin Lakes,5642,
362,Bret Harte,5319,
363,Modesto,211336,2866.0
364,Salida,14658,
365,Turlock,72335,706.0
366,Westley,838,
367,Rio Linda,15460,
368,Hickman,566,
369,Hughson,7370,100.0
370,Cutler,5774,
371,Goshen,3316,
372,Springville,872,37.0
373,Kings Beach,2833,71.0
374,Lincoln,46939,71.0
375,North Auburn,13707,
376,Bluewater,161,
377,Rialto,102873,1981.0
378,Wrightwood,4283,19.0
379,Orcutt,30493,235.0
380,Santa Ynez,4401,15.0
381,Carmichael,64785,
382,Florin,49132,
383,Vineyard,28315,
384,Potter Valley,437,12.0
385,Princeton,297,
386,Proberta,165,
387,Rackerby,189,
388,Red Corral,1930,
389,Redcrest,23,4.0
390,Watsonville,53616,1169.0
391,Earlimart,8790,
392,East Orosi,955,
393,Redwood Valley,1376,122.0
394,Reliez Valley,3575,
395,Richfield,272,
396,Richvale,99,
397,Rio Oso,406,
398,Ripley,408,
399,River Pines,607,
400,Robbins,321,13.0
401,Robinson Mill,35,
402,Rodriguez Camp,87,
403,Rolling Hills,896,
404,Rose Hills,2612,
405,Rough and Ready,828,
406,Rouse,2420,
407,Ruth,145,20.0
408,Rutherford,72,
409,Salmon Creek,20,
410,Samoa,284,
411,San Miguel (Contra Costa County),2993,
412,San Miguel (San Luis Obispo County),2807,
413,San Pasqual,1932,
414,San Simeon,583,46.0
415,Santa Margarita,1252,52.0
416,Santa Nella,2508,47.0
417,Santa Rosa Valley,3180,
418,Santa Susana,1050,
419,Saranap,6492,
420,Saticoy,1201,
421,Bodega,473,
422,Bonny Doon,3009,
423,Bridgeport,464,42.0
424,Brookdale,2345,
425,Brooktrails,3709,
426,Buckhorn,2246,
427,Boulevard,445,51.0
428,Buck Meadows,51,
429,Buena Vista,526,
430,Burnt Ranch,338,22.0
431,Butte Creek Canyon,931,
432,Butte Meadows,53,
433,Butte Valley,510,
434,California Hot Springs,36,15.0
435,California Pines,488,
436,Callender,1583,
437,Calpella,562,9.0
438,Calpine,216,6.0
439,Camanche North Shore,1029,
440,Camanche Village,620,
441,Camino,1799,73.0
442,Camino Tassajara,3798,
443,Camp Nelson,0,
444,Campo,3482,
445,Camptonville,162,59.0
446,Canby,497,
447,Carmet,0,
448,Pixley,3796,40.0
449,Terra Bella,3304,113.0
450,Tulare,62838,629.0
451,Arbuckle,3636,18.0
452,Lenwood,3884,
453,Montclair,38865,728.0
454,Mountain View Acres,4260,
455,San Antonio Heights,3034,
456,Twentynine Palms,26109,568.0
457,Lompoc,43511,887.0
458,Solvang,5734,204.0
459,Vandenberg Village,7861,
460,Foothill Farms,33749,
461,North Highlands,48968,
462,La Crescenta-Montrose,19500,
463,Rancho Murieta,5603,189.0
464,El Segundo,16850,
465,Irwindale,1405,
466,Lomita,20628,525.0
467,Long Beach,468883,2001.0
